molecule,model,df_spline,k,QM,QMp,I2,beta,pval
LSD,linear,NA,137,8.844654332297594,0.002939485648268415,28.733450998899755,0.003981482345378718,0.002939485648268419
MDMA,linear,NA,160,15.975675965452025,6.416158747285869e-5,25.040165377400672,0.017837697348775928,6.416158747285871e-5
PSILOCYBIN,linear,NA,218,1.664965680581996,0.1969341991534993,64.06658610591562,0.011882290454061795,0.1969341991534993
