molecule,beta_dose.session,beta_dose.follow_up,ci_lb.session,ci_lb.follow_up,ci_ub.session,ci_ub.follow_up,p_dose.session,p_dose.follow_up,stars.session,stars.follow_up,k.session,k.follow_up,I2.session,I2.follow_up,tau2.session,tau2.follow_up
AYAHUASCA,NA,NA,-0.975248912335736,NA,0.3794247171370242,NA,NA,NA,,NA,16,NA,48.60245033123258,NA,0.9044335448814588,NA
LSD,0.004343736711343532,-0.005117316103955887,0.0018181231449524706,-0.009743932062323778,0.006869350277734593,-4.907001455879941e-4,NA,NA,,,149,108,27.047189539201714,0,0.3189071855328083,0
MDMA,0.01483521218207264,0.006756229303448274,0.004602797032738843,-0.005793881010387724,0.02506762733140644,0.01930633961728427,NA,NA,,,213,75,23.877833358392124,1.0615143327720698e-4,0.3260746420805704,1.4197208478979143e-6
PSILOCYBIN,-0.06763027754325734,NA,-0.0988259481654609,NA,-0.03643460692105378,NA,NA,NA,,NA,166,NA,57.84557720132182,NA,2.2977884777621567,NA
