molecule,time_window,k,beta_dose,se_dose,z_dose,p_dose,ci_lb,ci_ub,I2,tau2,stars
AYAHUASCA,session,16,NA,NA,NA,NA,-0.975248912335736,0.3794247171370242,48.60245033123258,0.9044335448814588,
LSD,follow_up,108,-0.005117316103955887,NA,NA,NA,-0.009743932062323778,-4.907001455879941e-4,0,0,
LSD,session,149,0.004343736711343532,NA,NA,NA,0.0018181231449524706,0.006869350277734593,27.047189539201714,0.3189071855328083,
MDMA,follow_up,75,0.006756229303448274,NA,NA,NA,-0.005793881010387724,0.01930633961728427,1.0615143327720698e-4,1.4197208478979143e-6,
MDMA,session,213,0.01483521218207264,NA,NA,NA,0.004602797032738843,0.02506762733140644,23.877833358392124,0.3260746420805704,
PSILOCYBIN,session,166,-0.06763027754325734,NA,NA,NA,-0.0988259481654609,-0.03643460692105378,57.84557720132182,2.2977884777621567,
