molecule,k_total,QM,QMp,p_overall,stars
LSD,57,26.374005945084956,2.8130082552632424e-7,2.8130082552632424e-7,***
MDMA,218,15.845664607503982,1.7208609024039484e-11,1.7208609024039484e-11,***
PSILOCYBIN,162,19.13428643087342,3.9415443454044476e-11,3.9415443454044476e-11,***
