molecule,k_total,QM,QMp,p_overall,stars
LSD,149,11.362790987128157,7.49301419986991e-4,7.49301419986991e-4,***
MDMA,160,21.104077834711106,3.726264637124126e-10,3.726264637124126e-10,***
PSILOCYBIN,162,19.134286430873413,3.9415443454037465e-11,3.9415443454037465e-11,***
