molecule,model,df_spline,k,QM,QMp,I2,beta,pval
LSD,spline,3,149,16.63672323370979,8.393298636088693e-4,26.60966496028199,NA,8.393298636088693e-4
MDMA,spline,3,213,19.488532365545876,2.1663411536566955e-4,21.449511802111413,NA,2.1663411536566955e-4
PSILOCYBIN,spline,3,166,19.67473722234933,5.341768905312558e-5,57.13544246255589,NA,5.341768905312558e-5
