molecule,model,beta,pval,k,QM,QMp,I2
LSD,linear,-0.005117316103955887,0.03017099185756425,108,4.699522883063547,0.030170991857564226,0
MDMA,linear,0.006756229303448274,0.2913670314876195,75,1.1132939716253016,0.29136703148761955,1.0615143327720698e-4
