molecule,k_total,QM,QMp,p_overall,stars
LSD,149,11.362790987128157,7.49301419986991e-4,7.49301419986991e-4,***
MDMA,197,5.157475588426014,1.7041291949259615e-4,1.7041291949259615e-4,***
Psilocybin,162,19.134286430873413,3.9415443454037465e-11,3.9415443454037465e-11,***
