time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
follow_up,LSD,vitamin b12 deficiency,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,vomiting,1,0,159,0,0,row-wise preference: absolute_events else events
follow_up,LSD,weight gain,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,whiteness tooth dissection,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,MDMA,sleep disorder,4,65.3,82,0.7963414634146341,79.6341463414634,row-wise preference: absolute_events else events
follow_up,MDMA,fatigue,4,55.04,82,0.671219512195122,67.1219512195122,row-wise preference: absolute_events else events
follow_up,MDMA,depressed mood,1,4,8,0.5,50,row-wise preference: absolute_events else events
follow_up,MDMA,depression,3,28.25,67,0.4216417910447761,42.16417910447761,row-wise preference: absolute_events else events
follow_up,MDMA,anxiety,4,34.07,82,0.41548780487804876,41.548780487804876,row-wise preference: absolute_events else events
follow_up,MDMA,muscle tension,2,10.93,31,0.35258064516129034,35.25806451612903,row-wise preference: absolute_events else events
follow_up,MDMA,headache,4,27.86,82,0.3397560975609756,33.975609756097555,row-wise preference: absolute_events else events
follow_up,MDMA,irritability,3,12.989999999999998,39,0.33307692307692305,33.30769230769231,row-wise preference: absolute_events else events
follow_up,MDMA,decreased concentration,4,21.93,75,0.2924,29.24,row-wise preference: absolute_events else events
follow_up,MDMA,lack of appetite,4,21.419999999999998,82,0.2612195121951219,26.12195121951219,row-wise preference: absolute_events else events
follow_up,MDMA,dizziness,3,12.31,63,0.1953968253968254,19.53968253968254,row-wise preference: absolute_events else events
follow_up,MDMA,rumination,3,10.59,63,0.1680952380952381,16.80952380952381,row-wise preference: absolute_events else events
follow_up,MDMA,nausea,2,8.64,55,0.15709090909090911,15.70909090909091,row-wise preference: absolute_events else events
follow_up,MDMA,jaw tension,3,9.879999999999999,63,0.1568253968253968,15.682539682539682,row-wise preference: absolute_events else events
follow_up,MDMA,weakness,3,9.64,63,0.15301587301587302,15.301587301587302,row-wise preference: absolute_events else events
follow_up,MDMA,autonomic,2,7.359999999999999,55,0.1338181818181818,13.381818181818181,row-wise preference: absolute_events else events
follow_up,MDMA,drowsiness,1,1,8,0.125,12.5,row-wise preference: absolute_events else events
follow_up,MDMA,paresthesia,1,1,8,0.125,12.5,row-wise preference: absolute_events else events
follow_up,MDMA,thirst,1,1,8,0.125,12.5,row-wise preference: absolute_events else events
follow_up,MDMA,restlessness,2,6.5,55,0.11818181818181818,11.818181818181818,row-wise preference: absolute_events else events
follow_up,MDMA,xerostomia,2,5.640000000000001,55,0.10254545454545455,10.254545454545456,row-wise preference: absolute_events else events
follow_up,MDMA,infectious,1,0.96,12,0.08,8,row-wise preference: absolute_events else events
follow_up,MDMA,dissociation,1,0.48,12,0.04,4,row-wise preference: absolute_events else events
follow_up,MDMA,pain,1,0.48,12,0.04,4,row-wise preference: absolute_events else events
follow_up,MDMA,ophthalmological,2,1.8199999999999998,55,0.03309090909090909,3.3090909090909086,row-wise preference: absolute_events else events
follow_up,MDMA,perspiration,1,0.86,43,0.02,2,row-wise preference: absolute_events else events
follow_up,MDMA,feeling cold,1,0,8,0,0,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,headache,1,60,160,0.375,37.5,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,fatigue,1,13,160,0.08125,8.125,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,anxiety,1,11,160,0.06875,6.875000000000001,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,abnormal dreams,1,10,160,0.0625,6.25,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,panic reaction,1,9,160,0.05625,5.625,row-wise preference: absolute_events else events
follow_up,PSILOCYBIN,depression,1,8,160,0.05,5,row-wise preference: absolute_events else events
