time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
session,LSD,mydriasis,1,0.272727272727273,11,0.02479338842975209,2.479338842975209,row-wise preference: absolute_events else events
session,LSD,affect liability,1,0.181818181818182,11,0.016528925619834725,1.6528925619834725,row-wise preference: absolute_events else events
session,LSD,derealization,1,0.181818181818182,11,0.016528925619834725,1.6528925619834725,row-wise preference: absolute_events else events
session,LSD,impaired gait,3,1.1763111073455912,77,0.015276767627864821,1.527676762786482,row-wise preference: absolute_events else events
session,LSD,illusion,1,2.108,159,0.013257861635220126,1.3257861635220125,row-wise preference: absolute_events else events
session,LSD,sleep disorder,1,0.310344827586207,29,0.010701545778834724,1.0701545778834725,row-wise preference: absolute_events else events
session,LSD,anemia,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353,row-wise preference: absolute_events else events
session,LSD,anger,1,0.0909090909090909,11,0.008264462809917354,0.8264462809917353,row-wise preference: absolute_events else events
session,MDMA,muscle tension,5,3.1906999999999996,105,0.030387619047619045,3.0387619047619046,row-wise preference: absolute_events else events
session,MDMA,sleep disorder,7,5.415299999999999,195,0.027770769230769227,2.7770769230769226,row-wise preference: absolute_events else events
session,MDMA,headache,7,4.3504,165,0.026366060606060605,2.6366060606060606,row-wise preference: absolute_events else events
session,MDMA,lack of appetite,5,3.5577000000000005,142,0.02505422535211268,2.505422535211268,row-wise preference: absolute_events else events
session,MDMA,anxiety,9,5.4909,231,0.02377012987012987,2.377012987012987,row-wise preference: absolute_events else events
session,MDMA,jaw tension,8,4.9103,214,0.02294532710280374,2.294532710280374,row-wise preference: absolute_events else events
session,MDMA,fatigue,7,3.6570999999999994,161,0.022714906832298133,2.271490683229813,row-wise preference: absolute_events else events
session,MDMA,autonomic,4,2.5461,114,0.02233421052631579,2.233421052631579,row-wise preference: absolute_events else events
session,MDMA,dizziness,4,2.6257,123,0.021347154471544717,2.1347154471544716,row-wise preference: absolute_events else events
session,MDMA,nausea,6,2.5692000000000004,142,0.018092957746478875,1.8092957746478875,row-wise preference: absolute_events else events
