time_window,molecule,n_studies_molecule,n_total_molecule,ae_term,n_studies_ae,n_total_ae,events_total,event_pct,events_per_1000,display
session,PSILOCYBIN,10,550,anxiety,5,421,66,15.676959619952493,156.76959619952493,66.0/421 (15.7%)
session,PSILOCYBIN,10,550,temperature perception disturbances,2,186,26,13.978494623655912,139.78494623655914,26.0/186 (14.0%)
session,PSILOCYBIN,10,550,synaesthesia,1,160,20,12.5,125,20.0/160 (12.5%)
session,PSILOCYBIN,10,550,fatigue,5,412,50,12.135922330097088,121.35922330097088,50.0/412 (12.1%)
session,PSILOCYBIN,10,550,perspiration,1,160,19,11.875,118.75,19.0/160 (11.9%)
session,PSILOCYBIN,10,550,dizziness,5,408,42,10.294117647058822,102.94117647058823,42.0/408 (10.3%)
session,PSILOCYBIN,10,550,paresthesia,2,314,30,9.554140127388536,95.54140127388536,30.0/314 (9.6%)
session,PSILOCYBIN,10,550,sleep disorder,4,252,24,9.523809523809524,95.23809523809523,24.0/252 (9.5%)
session,PSILOCYBIN,10,550,tachycardia,2,175,14.95,8.542857142857143,85.42857142857142,14.9/175 (8.5%)
session,PSILOCYBIN,10,550,confusion,1,160,12,7.5,75,12.0/160 (7.5%)
session,PSILOCYBIN,10,550,abdominal pain,3,362,26,7.18232044198895,71.8232044198895,26.0/362 (7.2%)
session,PSILOCYBIN,10,550,mood altered,1,154,11,7.142857142857142,71.42857142857143,11.0/154 (7.1%)
session,PSILOCYBIN,10,550,restlessness,3,238,17,7.142857142857142,71.42857142857143,17.0/238 (7.1%)
session,PSILOCYBIN,10,550,insomnia,1,160,11,6.875000000000001,68.75,11.0/160 (6.9%)
session,PSILOCYBIN,10,550,thinking abnornal,1,160,11,6.875000000000001,68.75,11.0/160 (6.9%)
session,PSILOCYBIN,10,550,tremor,1,160,11,6.875000000000001,68.75,11.0/160 (6.9%)
session,PSILOCYBIN,10,550,physical pain,2,178,12,6.741573033707865,67.41573033707866,12.0/178 (6.7%)
session,PSILOCYBIN,10,550,depression,2,208,13,6.25,62.5,13.0/208 (6.2%)
session,PSILOCYBIN,10,550,polyuria,1,160,10,6.25,62.5,10.0/160 (6.2%)
session,PSILOCYBIN,10,550,euphoric mood,1,154,9,5.844155844155844,58.44155844155844,9.0/154 (5.8%)
session,PSILOCYBIN,10,550,hyperglycemia,1,18,1,5.555555555555555,55.55555555555555,1.0/18 (5.6%)
session,PSILOCYBIN,10,550,memory impairment,1,18,1,5.555555555555555,55.55555555555555,1.0/18 (5.6%)
session,PSILOCYBIN,10,550,depressed mood,1,154,8,5.194805194805195,51.948051948051955,8.0/154 (5.2%)
session,PSILOCYBIN,10,550,suicidal ideation,3,362,18.6,5.138121546961327,51.38121546961327,18.6/362 (5.1%)
session,PSILOCYBIN,10,550,vomiting,2,78,4,5.128205128205128,51.28205128205128,4.0/78 (5.1%)
session,PSILOCYBIN,10,550,hypoglycemia,1,20,1,5,50,1.0/20 (5.0%)
session,PSILOCYBIN,10,550,somnolence,1,160,8,5,50,8.0/160 (5.0%)
session,PSILOCYBIN,10,550,tension,1,160,8,5,50,8.0/160 (5.0%)
session,PSILOCYBIN,10,550,palpitations,3,238,10,4.201680672268908,42.016806722689076,10.0/238 (4.2%)
session,PSILOCYBIN,10,550,corona virus infection,1,48,2,4.166666666666666,41.666666666666664,2.0/48 (4.2%)
session,PSILOCYBIN,10,550,migraine,3,96,4,4.166666666666666,41.666666666666664,4.0/96 (4.2%)
session,PSILOCYBIN,10,550,myalgia,2,202,8,3.9603960396039604,39.603960396039604,8.0/202 (4.0%)
session,PSILOCYBIN,10,550,irritability,1,154,6,3.896103896103896,38.96103896103896,6.0/154 (3.9%)
session,PSILOCYBIN,10,550,cystitis,1,26,1,3.8461538461538463,38.46153846153847,1.0/26 (3.8%)
session,PSILOCYBIN,10,550,back pain,2,202,7,3.4653465346534658,34.65346534653466,7.0/202 (3.5%)
session,PSILOCYBIN,10,550,feeling abnormal,2,59,2,3.389830508474576,33.898305084745765,2.0/59 (3.4%)
session,PSILOCYBIN,10,550,intentional self‑injury,1,154,4,2.5974025974025974,25.974025974025977,4.0/154 (2.6%)
session,PSILOCYBIN,10,550,thinking abnormal,1,154,4,2.5974025974025974,25.974025974025977,4.0/154 (2.6%)
session,PSILOCYBIN,10,550,panic reaction,2,314,8,2.547770700636943,25.477707006369428,8.0/314 (2.5%)
session,PSILOCYBIN,10,550,biopsy,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,cataract,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,diverticulitis,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
session,PSILOCYBIN,10,550,dyspepsia,1,48,1,2.083333333333333,20.833333333333332,1.0/48 (2.1%)
