time_window,molecule,study_id,ae_term,n_arms,events_total,n_total,rate,rate_pct
session,PSILOCYBIN,Raison2023,nausea,1,0.48,50,0.0096,0.96
session,PSILOCYBIN,Rieser2025,headache,1,0.277777777777778,18,0.015432098765432112,1.5432098765432112
session,PSILOCYBIN,Rieser2025,hyperglycemia,1,0.0555555555555556,18,0.003086419753086422,0.30864197530864224
session,PSILOCYBIN,Rieser2025,memory impairment,1,0.0555555555555556,18,0.003086419753086422,0.30864197530864224
session,PSILOCYBIN,Rieser2025,migraine,1,0.0555555555555556,18,0.003086419753086422,0.30864197530864224
session,PSILOCYBIN,Rieser2025,nausea,1,0.111111111111111,18,0.006172839506172833,0.6172839506172834
session,PSILOCYBIN,Rieser2025,physical pain,1,0,18,0,0
session,PSILOCYBIN,Rieser2025,stress,1,0,18,0,0
session,PSILOCYBIN,Ross2016,anxiety,1,0.172413793103448,29,0.0059453032104637244,0.5945303210463725
session,PSILOCYBIN,Ross2016,feeling abnormal,1,0.0689655172413793,29,0.002378121284185493,0.2378121284185493
session,PSILOCYBIN,Ross2016,headache,1,0.275862068965517,29,0.009512485136741966,0.9512485136741966
session,PSILOCYBIN,Ross2016,hypertension,1,0.758620689655172,29,0.026159334126040414,2.615933412604041
session,PSILOCYBIN,Ross2016,nausea,1,0.137931034482759,29,0.004756242568371,0.4756242568371
session,PSILOCYBIN,VonRotz2023,cystitis,1,0.0384615384615385,26,0.0014792899408284039,0.14792899408284038
session,PSILOCYBIN,VonRotz2023,diarrhea,1,0.0384615384615385,26,0.0014792899408284039,0.14792899408284038
session,PSILOCYBIN,VonRotz2023,dizziness,1,0.0769230769230769,26,0.002958579881656804,0.2958579881656804
session,PSILOCYBIN,VonRotz2023,headache,1,0.153846153846154,26,0.005917159763313615,0.5917159763313615
session,PSILOCYBIN,VonRotz2023,temperature perception disturbances,1,0.0769230769230769,26,0.002958579881656804,0.2958579881656804
