time_window,molecule,study_id,arm_id,group,arm_type,dose_mg,ae_term,events_total,n_total,rate,rate_pct
follow_up,LSD,Robison2025,high_dose,high_dose,active,200,nausea,0.05,40,0.00125,0.125
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,Balance_disorder,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,Fatigue,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,Mydriasis,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,Tremor,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,Vomiting,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,altered state of consciousness,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,anxiety,0.077,39,0.0019743589743589744,0.19743589743589746
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,attention disturbance,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,depressed mood,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,dizziness,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,emotional distress,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,euphoric mood,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,feeling abnormal,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,hallucination visual,0.026,39,6.666666666666666e-4,0.06666666666666667
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,headache,0.051,39,0.0013076923076923077,0.13076923076923078
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,hypertension,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,illusion,0.026,39,6.666666666666666e-4,0.06666666666666667
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,lack of appetite,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,nausea,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,panic_attack,0.025,39,6.41025641025641e-4,0.0641025641025641
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,paresthesia,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,perspiration,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,pseudohallucination,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,temperature perception disturbances,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,25,thinking abnormal,0,39,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,depressed mood,0.075,40,0.001875,0.1875
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,euphoric mood,0,40,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,hallucination visual,0,40,0,0
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,headache,0.05,40,0.00125,0.125
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,illusion,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,low_dose,low_dose,active,50,nausea,0,40,0,0
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,depressed mood,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,euphoric mood,0,40,0,0
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,hallucination visual,0,40,0,0
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,headache,0.1,40,0.0025,0.25
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,illusion,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,mild_dose,mild_dose,active,100,nausea,0.025,40,6.25e-4,0.0625
follow_up,LSD,Tomsovic1970,high_dose,high_dose,active,0.5,anxiety,0.253333333333333,75,0.003377777777777774,0.3377777777777774
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,anxiety,0.58,12,0.04833333333333333,4.833333333333333
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,autonomic,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,decreased concentration,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,depression,0.42,12,0.034999999999999996,3.4999999999999996
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,dissociation,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,dizziness,0.13,12,0.010833333333333334,1.0833333333333335
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,fatigue,0.75,12,0.0625,6.25
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,headache,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,infectious,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,irritability,0.33,12,0.0275,2.75
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,jaw tension,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,lack of appetite,0.38,12,0.03166666666666667,3.166666666666667
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,muscle tension,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,nausea,0.29,12,0.024166666666666666,2.4166666666666665
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,ophthalmological,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,pain,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,restlessness,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,rumination,0.13,12,0.010833333333333334,1.0833333333333335
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,sleep disorder,0.59,12,0.049166666666666664,4.916666666666666
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,weakness,0.29,12,0.024166666666666666,2.4166666666666665
follow_up,MDMA,Mithoefer2011,high_dose,high_dose,active,125,xerostomia,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,anxiety,0.83,12,0.06916666666666667,6.916666666666667
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,decreased concentration,0.42,12,0.034999999999999996,3.4999999999999996
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,depression,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,fatigue,0.83,12,0.06916666666666667,6.916666666666667
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,headache,0.58,12,0.04833333333333333,4.833333333333333
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,irritability,0.5,12,0.041666666666666664,4.166666666666666
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,lack of appetite,0.5,12,0.041666666666666664,4.166666666666666
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,muscle tension,0.58,12,0.04833333333333333,4.833333333333333
follow_up,MDMA,Mithoefer2018,high_dose,high_dose,active,125,sleep disorder,1.58,12,0.13166666666666668,13.166666666666668
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,anxiety,0.71,7,0.10142857142857142,10.142857142857142
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,fatigue,1,7,0.14285714285714285,14.285714285714285
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,headache,0.43,7,0.06142857142857143,6.142857142857143
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,irritability,0.29,7,0.041428571428571426,4.142857142857142
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,lack of appetite,0.14,7,0.02,2
follow_up,MDMA,Mithoefer2018,mild_dose,mild_dose,active,75,muscle tension,0.43,7,0.06142857142857143,6.142857142857143
