molecule,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,linear,dose_diff,9.723035062408859e-4,NA,NA,NA,0.35656887778410984,35.717917255463924,NA,196,NA,0.8499415349017957,0.35656887778410984,
MDMA,linear,dose_diff,0.01768464168837502,NA,NA,NA,7.676483740338536e-6,20.672163916948236,NA,179,NA,20.01679815852402,7.676483740338545e-6,***
PSILOCYBIN,linear,dose_diff,0.012022827489794684,NA,NA,NA,0.1892816672819111,63.295513419682706,NA,222,NA,1.7231999066726327,0.18928166728191112,
LSD,spline_df3,dose_diff,NA,NA,NA,NA,0.11626854455951868,36.15873939645427,NA,196,NA,5.906111265923991,0.11626854455951868,
MDMA,spline_df3,dose_diff,NA,NA,NA,NA,2.297226749981592e-5,20.145334549590984,NA,179,NA,24.174272062896403,2.297226749981592e-5,***
PSILOCYBIN,spline_df3,dose_diff,NA,NA,NA,NA,2.5828638625447323e-13,57.764953071451345,NA,222,NA,61.67132687747225,2.5828638625447323e-13,***
