molecule,k_total,QM,QMp,p_overall,stars
LSD,196,0.8499415349017957,0.11626854455951868,0.11626854455951868,
MDMA,179,20.01679815852402,7.676483740338545e-6,7.676483740338545e-6,***
PSILOCYBIN,222,1.7231999066726327,2.5828638625447323e-13,2.5828638625447323e-13,***
