model,term,estimate,se,z,pval,ci_low,ci_high,k,tau2,QM,QMp
crude,intrcpt,2.400417587833399,0.5095699601238401,4.710673265060657,2.4689979235018096e-6,1.4016788183871607,3.399156357279637,166,2.2977884777621567,18.054683058908775,2.1465000761546457e-5
crude,dose_mg,-0.06763027754325734,0.015916450949237354,-4.2490802603515005,2.1465000761546447e-5,-0.0988259481654609,-0.03643460692105378,166,2.2977884777621567,18.054683058908775,2.1465000761546457e-5
