molecule,k_total,QM,QMp,p_overall,stars
LSD,149,11.362790987128157,7.49301419986991e-4,7.49301419986991e-4,***
MDMA,203,15.218125419286267,1.074918778941021e-6,1.074918778941021e-6,***
PSILOCYBIN,162,19.134286430873413,3.9415443454037465e-11,3.9415443454037465e-11,***
