molecule,model,beta,pval,k,QM,QMp,I2
LSD,linear,0.004343736711343532,7.492555361444635e-4,149,11.362904724809855,7.492555361444632e-4,27.047189539201714
MDMA,linear,0.01483521218207264,0.004488707446563791,213,8.074718714675472,0.004488707446563796,23.877833358392124
PSILOCYBIN,linear,-0.06763027754325734,2.1465000761546447e-5,166,18.054683058908775,2.1465000761546457e-5,57.84557720132182
