molecule,p_session,p_followup,stars_session,stars_followup,change,mlog10p_session,mlog10p_followup,delta_mlog10p
LSD,7.49301419986991e-4,0.00234583777114661,***,**,Persistent,3.1253434443778363,2.629702025269072,-0.49564141910876414
MDMA,1.4688223230546149e-13,0.0565136396041937,***,,Lost at follow-up,12.833030735716793,1.2478467222700096,-11.585184013446783
Psilocybin,3.9415443454037465e-11,NA,***,,Lost at follow-up,10.404333582926848,NA,NA
