molecule,ae_term,p_session,p_followup
LSD,nausea,0.00317434762179838,0.5319434252809175
MDMA,headache,0.00654179210642141,0.9153286266908108
LSD,headache,0.01039956977448597,0.306764639599127
LSD,illusion,0.04935938119455931,0.6479879376056239
MDMA,depression,0.0455641428431674,0.4987731402516836
