molecule,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,linear,dose_diff,-0.003752017549391037,NA,NA,NA,0.02850462223442532,0,NA,163,NA,4.797285027900018,0.028504622234425313,*
MDMA,linear,dose_diff,0.006756229303448274,NA,NA,NA,0.2913670314876195,1.0615143327720698e-4,NA,75,NA,1.1132939716253016,0.29136703148761955,
PSILOCYBIN,linear,dose_diff,0.0020553331649773403,NA,NA,NA,0.9230417675623247,35.52264166217332,NA,30,NA,0.00933211684347372,0.9230417675623248,
LSD,spline_df3,dose_diff,NA,NA,NA,NA,1.8728845556456873e-7,0,NA,163,NA,34.11564523297041,1.8728845556456873e-7,***
