molecule,k_session,QM_session,p_session,p_overall.x,stars_session,k_follow,QM_follow,p_follow,p_overall.y,stars_follow
LSD,149,11.362790987128156,7.49301419986991e-4,7.49301419986991e-4,***,108,4.701382652081801,0.00234583777114661,0.00234583777114661,**
MDMA,197,5.157475588426014,1.7041291949259615e-4,1.7041291949259615e-4,***,58,0.6665921693883723,0.0565136396041937,0.0565136396041937,NA
Psilocybin,162,19.134286430873413,3.9415443454037465e-11,3.9415443454037465e-11,***,NA,NA,NA,NA,NA
